,title,description,link,published
0,ข้อความกินเงิน,รบกวนสอบถาม cc true ค่ะ มีข้อความกินเงินและประชาสัมพันธ์มาทุกวันเลยค่ะ เราต้องกด *137 เพื่อกดยกเลิกทุกวัน กินเงินไปเป็นร้อยแล้วค่ะ ตอนแรกคิดว่ามืออาจจะไปกดโดนลิ้งค์อะไร แต่วันนี้ ทำงานอยู่ ไม่ได้ใช้โท,https://pantip.com/topic/40522511,"Mon, 15 Feb 2021 17:45:23 +0700"
1,ถามเจ้าหน้าที่ True money เรื่อง โปร เปย์มาเปย์กลับ ที่ร่วมกับ Mastercard,ไม่ทราบว่า แคมเปญ เปย์มาเปย์กลับ ที่ทาง True money ร่วมกับ Mastercard หมดอายุแคมเปญ หรือยังครับ เห็นในข่าวประชาสัมพันธ์บอกว่าจะหมดโครงการวันที่ 31 มกราคม 2564 แต่วันนี้ 15/2 ไปซื้อของที่ 7-11 จ่ายด้วย,https://pantip.com/topic/40522510,"Mon, 15 Feb 2021 17:45:23 +0700"
2,ตายทั้งเป็น (cover) by Milin D.,ชมเต็มๆได้ที่ https://www.facebook.com/watch/?v=420174872402558 มี2เวอร์ชั่น https://www.instagram.com/tv/CLT0TCVDjZC/?igshid=1j003kvyyw6bp,https://pantip.com/topic/40522509,"Mon, 15 Feb 2021 17:44:54 +0700"
3,การจูบ,สวัสวดีค่ะ.. มีเรื่องสอบถามค่ะ คือพึ่งคบกับแฟนมาค่ะ.. เเล้วเมื่อวันที่14กุมภาพันธ์​เขาพาเราไปบ้านเขาค่ะ.. พาไปเจอแม่เขา.. แล้วเขาบอกเขาอยากให้เราช่วย.. เเต่ทำไมเขาไม่ยอมจูบเราค่ะ.. แปลกมาก.. พอเราเริ่,https://pantip.com/topic/40522508,"Mon, 15 Feb 2021 17:44:52 +0700"
4,บัตรนักเรียน นักศึกษา และบุคลากรด้านการศึกษา ใช้ลด 15% โทรศัพท์มือถือ SAMSUNG,"วันวาเลนไทน์ ไปเที่ยวพักผ่อน เดินเล่นในห้างสรรพสินค้า มาสะดุดที่ป้าย ลด 15% หน้าร้าน Samsung shop ตามป้าย รุ่นเริ่มต้น A02S ลดเหลือ 3,399 บาท รุ่นแพงสุด Note 20 Ultra 5G ลดเหลือ 34,900 บาท ปกติเป็นคนช",https://pantip.com/topic/40522507,"Mon, 15 Feb 2021 17:44:36 +0700"
5,ถ้าจะขายรถ กระบะ 4 ประตู,"ถ้าจะขายรถ กระบะ ดีแม็กซ์4 ประตู ปี 2016 เหลือ 27 งวด เหลือยอดคงค้างที่ต้องชำระทั้งหมด เป็นเงิน 270,000 เราจะขายกับ ศูนย์รถยนต์ รึ ขายกับเต็นท์ ดีคะ อยากได้สัก 400,000 อัพ",https://pantip.com/topic/40522506,"Mon, 15 Feb 2021 17:43:58 +0700"
6,""" Konarak ""  รถม้าที่งดงามของเทพเจ้าแห่งดวงอาทิตย์",(วิหาร Konark Sun Temple มีชื่อเรียกอีกชื่อหนึ่งว่าเจดีย์ดำ ภาพ© Yameza / Flickr) วิหาร Konark Sun สร้างขึ้นเพื่ออุทิศให้กับ Sun God “ Surya ” เทพเจ้าดวงอาทิตย์ในศาสนาฮินดูในศตวรรษที่ 13 ตั้งอยู่ทางตะ,https://pantip.com/topic/40522505,"Mon, 15 Feb 2021 17:43:43 +0700"
7,ซื้อของออนไลน์แล้วคนขายไม่ยอมส่งเป็นเดือน พอตามทวงเขาคืนเงินมา 70% แต่ผ่านมาเกือบเดือนแล้วเขาก็ยังไม่ส่งของให้,เนื่องจากซื้อของกับคนในอินเทอร์เน็ตไปตั้งแต่ต้นเดือนมกรา แล้วเจ้าตัวบอกว่าติดธุระขอส่งสัปดาห์ถัดไป พอสัปดาห์ถัดไปก็บอกติดธุระยาวไม่มีกำหนด ทวงถามก็อ่านข้อความแต่ไม่ตอบอย่างเดียวเลยโพสประจานลงกลุ่มไป เ,https://pantip.com/topic/40522504,"Mon, 15 Feb 2021 17:43:39 +0700"
8,ช่วยแนะนำหนังสือติวโอเน็ต และเเกทแพทปี64หน่อยค่ะ,คือว่าตอนนี้เรากำลังเรียนอยู่ปวชปี 2 กำลังจะขึ้นปี 3 แต่พอดีว่ารู้ตัวอีกทีก็คืออยากเข้ามหาลัยที่นี้เราจะติวเองที่บ้านเราก็มีเวลาปีกว่าอยากได้หนังสือที่ติว o-net gat pat 1 ช่วยแนะนำร้านหนังสือหรือว่าหน,https://pantip.com/topic/40522503,"Mon, 15 Feb 2021 17:43:25 +0700"
9,ขอลงรถ OR ก่อนนะครับ ได้มา 80% นิดๆ พอแล้ว,เสียดายหน่อย ตอนแรกตั้งขาย ราคา 1 เด้ง พอตอนเช้าเห็นมันเอื่อยๆ เลยแก้ราคาใหม่ เคาะซ้าย ขายไป ตอน 31.75 บ. ซะเลยกลับมาดู แหม เสียดายจังใครถืออยู่ก็ขอให้โชคดีๆ นะครับ,https://pantip.com/topic/40522502,"Mon, 15 Feb 2021 17:43:18 +0700"
